City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,89.55,clear sky,-33.65,115.33,Observatory Guest House
8,Port Elizabeth,ZA,71.6,broken clouds,-33.92,25.57,39 On Nile Guest House
12,Rikitea,PF,77.86,clear sky,-23.12,-134.97,Pension Maro'i
14,Dubbo,AU,80.6,overcast clouds,-32.25,148.62,Comfort Inn Blue Lagoon
15,Launceston,AU,73.0,scattered clouds,-41.45,147.17,Hotel Grand Chancellor Launceston
20,Kapaa,US,73.4,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
22,Inirida,CO,72.97,light rain,3.87,-67.92,Fuente del Guania Hotel de Lujo
23,Pedernales,DO,76.26,clear sky,18.04,-71.74,Hotel Costa Marina
28,Port Alfred,ZA,71.01,few clouds,-33.59,26.89,The Halyards Hotel
29,Puerto Ayora,EC,71.01,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
30,Alofi,NU,73.4,moderate rain,-19.06,-169.92,Taloa Heights
35,Butaritari,KI,81.46,few clouds,3.07,172.79,Isles Sunset Lodge
42,Mar Del Plata,AR,73.99,moderate rain,-38.0,-57.56,Gran Hotel Mar del Plata
45,Monrovia,LR,75.2,mist,6.3,-10.8,Eco-Hotel Hall & Restaurant
52,Arraial Do Cabo,BR,74.32,overcast clouds,-22.97,-42.03,Pousada Porto Praia
63,Dennery,LC,80.6,scattered clouds,13.9,-60.89,The Fox Grove Inn
72,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
73,Kavieng,PG,84.34,overcast clouds,-2.57,150.8,Nusa Island Retreat
74,Hobyo,SO,79.81,broken clouds,5.35,48.53,Halane Hotel and Restaurent
75,Saint-Philippe,RE,84.2,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
77,East London,ZA,71.6,clear sky,-33.02,27.91,Tu Casa
78,Key Largo,US,71.01,scattered clouds,25.09,-80.45,Bayside Inn Key Largo
79,Cockburn Town,TC,78.53,clear sky,21.46,-71.14,Osprey Beach Hotel
87,Carnarvon,AU,87.8,clear sky,-24.87,113.63,Hospitality Carnarvon
88,Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
90,Honiara,SB,86.0,shower rain,-9.43,159.95,Heritage Park Hotel
93,Hilo,US,73.4,light rain,19.73,-155.09,Hilo Hawaiian Hotel
94,Bambous Virieux,MU,81.0,shower rain,-20.34,57.76,Casa Tia Villa
97,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.08,Scoop Guest House
104,Kiama,AU,77.0,clear sky,-34.68,150.87,The Sebel Kiama Harbourside
108,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
121,Sola,VU,82.83,few clouds,-13.88,167.55,Ulkel Guest House
124,Hambantota,LK,84.2,light rain,6.12,81.12,Bungalow 63
126,Acapulco,MX,77.13,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
127,Yambio,SS,79.18,scattered clouds,4.57,28.4,Kabash Inn
129,Ngunguru,NZ,75.0,broken clouds,-35.62,174.5,Pacific Rendezvous Motel Resort
133,Gizo,SB,85.77,scattered clouds,-8.1,156.84,Imagination Island
136,Richards Bay,ZA,74.43,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
137,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
140,Tiarei,PF,75.2,light rain,-17.53,-149.33,Le Rocher de Tahiti
142,Barabai,ID,89.83,light rain,-2.58,115.38,Joko Homestay
145,Atuona,PF,79.09,broken clouds,-9.8,-139.03,Villa Enata
147,Santa Isabel Do Rio Negro,BR,73.22,light rain,-0.41,-65.02,Hotel GSA
148,Mogadishu,SO,80.6,broken clouds,2.04,45.34,Hotel Juba
154,Tabou,CI,77.79,light rain,4.42,-7.35,hotêl doufoulougou
159,Poum,NC,80.35,clear sky,-20.23,164.02,Gîte kajeon
162,Esperance,AU,82.4,clear sky,-33.87,121.9,Hospitality Esperance
165,Pontes E Lacerda,BR,72.48,overcast clouds,-15.23,-59.34,Hotel Bressan
167,Dondo,MZ,82.4,scattered clouds,-19.61,34.74,Arco Iris
169,Sampit,ID,83.84,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
170,Borba,BR,73.72,light rain,-4.39,-59.59,Hotel da Amazônia
171,Sao Filipe,CV,71.87,scattered clouds,14.9,-24.5,Tortuga B&B
173,Faanui,PF,80.91,moderate rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
182,Padang,ID,85.59,broken clouds,-0.95,100.35,Mercure Padang
187,Kahului,US,77.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
188,Itanhaem,BR,73.99,haze,-24.18,-46.79,Prainha Residência Artística
190,Saint-Joseph,RE,84.2,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
191,Souillac,MU,80.6,shower rain,-20.52,57.52,Bils' Villa
200,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
202,Mahebourg,MU,80.6,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
206,Bengkulu,ID,85.12,few clouds,-3.8,102.27,Grage Hotel Bengkulu
208,Labrea,BR,72.93,overcast clouds,-7.26,-64.8,Hotel Novo Horizonte
209,Abhaynagar,BD,78.35,clear sky,23.01,89.4,Alam Mallick House
210,Biak,ID,84.88,light rain,-0.91,122.88,Penginapan Kim
213,Ulladulla,AU,73.4,scattered clouds,-35.35,150.47,Sandpiper Motel
214,Galesong,ID,86.0,scattered clouds,-5.32,119.37,Sapriadi Appy
224,Toumodi,CI,71.6,clear sky,6.56,-5.02,Hotel Akanza
227,Meulaboh,ID,84.29,overcast clouds,4.14,96.13,Kost Pria
234,Dingle,PH,84.9,broken clouds,11.0,122.67,SEGAYA PROPERTY
235,Mumford,GH,78.85,light rain,5.26,-0.76,Spanish Villa
236,Pauini,BR,72.54,moderate rain,-7.71,-66.98,Casa do Kiwliks
240,Caucasia,CO,74.26,overcast clouds,7.99,-75.19,Hotel San Rafael
243,Kindu,CD,71.53,overcast clouds,-2.95,25.95,Résidence Okanda
246,Bani,DO,75.0,clear sky,18.28,-70.33,Hospedaje Henriquez
249,Puerto Escondido,MX,73.4,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
254,Sabya,SA,78.8,few clouds,17.15,42.63,Aseel Hotel Apartment
255,Doha,QA,72.0,clear sky,25.29,51.53,Doha Marriott Hotel
257,Siyabuswa,ZA,78.75,light rain,-25.11,29.04,Uluju properties
265,Morant Bay,JM,77.0,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
266,Byron Bay,AU,77.0,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
267,Sao Felix Do Xingu,BR,71.89,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
268,Vao,NC,77.31,broken clouds,-22.67,167.48,Hotel Kou-Bugny
276,Pimenta Bueno,BR,72.46,overcast clouds,-11.67,-61.19,Cristalina Palace Hotel
279,Yulara,AU,86.0,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
280,Guara,BR,70.92,overcast clouds,-20.43,-47.82,Casa Da Solene
283,Guarapari,BR,78.8,heavy intensity rain,-20.67,-40.5,Hotel Porto do Sol
290,Sydney,AU,75.0,broken clouds,-33.87,151.21,QT Sydney
293,Cabadiangan,PH,88.05,broken clouds,9.75,122.47,Kipot
295,Bambanglipuro,ID,85.15,few clouds,-7.95,110.28,Puri Brata
301,Ca Mau,VN,71.87,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
303,Conde,BR,77.0,few clouds,-7.26,-34.91,Pousada Beija Flor
304,Pathein,MM,83.71,broken clouds,16.78,94.73,Pathein Hotel
305,Moron,AR,75.99,light rain,-34.65,-58.62,Hotel Morón
308,Kinkala,CG,71.67,overcast clouds,-4.36,14.76,Hotel la Vernande
309,Diamantino,BR,75.22,moderate rain,-14.41,-56.45,Hotel Delta
313,Manggar,ID,83.62,moderate rain,-2.88,108.27,Guest Hotel
314,San Fernando,PH,86.0,broken clouds,15.03,120.69,Maharlika Hostel
317,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
322,Oranjestad,AW,80.6,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
