City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,89.55,23,0,7.85,clear sky
1,Ushuaia,AR,-54.8,-68.3,48.2,45,75,17.22,broken clouds
2,Bluff,NZ,-46.6,168.33,57.99,91,100,11.01,overcast clouds
3,Cortez,US,37.35,-108.59,33.8,55,1,10.29,clear sky
4,Mulege,MX,26.88,-111.98,59.29,61,20,2.93,few clouds
5,Chokurdakh,RU,70.63,147.92,-18.02,89,99,7.83,overcast clouds
6,Shingu,JP,33.73,135.98,53.6,50,40,11.41,scattered clouds
7,Airai,TL,-8.93,125.41,63.14,100,100,2.71,light rain
8,Port Elizabeth,ZA,-33.92,25.57,71.6,88,75,17.22,broken clouds
9,Orchard Homes,US,46.86,-114.05,28.4,86,90,3.36,light snow
10,Tuktoyaktuk,CA,69.45,-133.04,-18.4,75,5,18.34,clear sky
11,Isoka,ZM,-10.16,32.63,69.48,86,26,3.8,scattered clouds
12,Rikitea,PF,-23.12,-134.97,77.86,67,6,6.33,clear sky
13,Erdemli,TR,36.6,34.31,54.36,44,7,5.44,clear sky
14,Dubbo,AU,-32.25,148.62,80.6,34,100,8.05,overcast clouds
15,Launceston,AU,-41.45,147.17,73.0,37,40,17.22,scattered clouds
16,Ostrovnoy,RU,68.05,39.51,29.75,98,98,11.45,light snow
17,Havre-Saint-Pierre,CA,50.23,-63.6,24.8,73,90,11.41,overcast clouds
18,Naze,JP,28.37,129.48,68.0,60,75,12.75,broken clouds
19,Nalut,LY,30.33,10.85,49.01,89,0,9.01,clear sky
20,Kapaa,US,22.08,-159.32,73.4,88,90,7.56,overcast clouds
21,Kayes,ML,14.0,-11.0,62.89,29,95,3.27,overcast clouds
22,Inirida,CO,3.87,-67.92,72.97,98,92,1.19,light rain
23,Pedernales,DO,18.04,-71.74,76.26,64,0,2.42,clear sky
24,Lebu,CL,-37.62,-73.65,55.49,86,0,16.26,clear sky
25,Albany,US,42.6,-73.97,32.0,54,22,8.01,few clouds
26,Khatanga,RU,71.97,102.5,-21.77,85,91,9.1,overcast clouds
27,Mandurah,AU,-32.55,115.7,100.4,12,0,6.93,clear sky
28,Port Alfred,ZA,-33.59,26.89,71.01,94,13,7.0,few clouds
29,Puerto Ayora,EC,-0.74,-90.35,71.01,94,8,6.73,clear sky
30,Alofi,NU,-19.06,-169.92,73.4,100,100,3.36,moderate rain
31,Hovd,MN,48.01,91.64,12.16,65,46,4.05,scattered clouds
32,Poya,NC,-21.35,165.15,81.18,67,52,6.89,broken clouds
33,Morehead,US,37.27,-87.18,37.99,59,1,8.01,clear sky
34,Thompson,CA,55.74,-97.86,-23.8,74,5,3.36,clear sky
35,Butaritari,KI,3.07,172.79,81.46,79,11,15.7,few clouds
36,Upernavik,GL,72.79,-56.15,19.15,93,99,13.47,overcast clouds
37,Arlit,NE,18.74,7.39,60.84,31,0,9.4,clear sky
38,Punta Arenas,CL,-53.15,-70.92,46.4,65,100,10.29,light rain
39,Cape Town,ZA,-33.93,18.42,69.01,88,75,4.7,broken clouds
40,Lasa,IT,46.62,10.7,32.0,54,40,5.82,scattered clouds
41,Hirara,JP,24.8,125.28,69.8,88,75,14.99,mist
42,Mar Del Plata,AR,-38.0,-57.56,73.99,49,0,6.93,moderate rain
43,Dniprovka,UA,47.43,34.62,24.21,95,69,8.63,broken clouds
44,Pevek,RU,69.7,170.31,-6.75,90,100,19.42,light snow
45,Monrovia,LR,6.3,-10.8,75.2,94,20,2.28,mist
46,Narsaq,GL,60.92,-46.05,44.6,39,100,23.04,light snow
47,Asasa,ET,7.1,39.2,59.72,59,100,7.11,overcast clouds
48,Pangnirtung,CA,66.15,-65.71,-10.12,80,83,5.57,broken clouds
49,Lompoc,US,34.64,-120.46,46.4,93,40,6.08,scattered clouds
50,Qeshm,IR,26.96,56.27,66.2,37,0,9.17,clear sky
51,Antofagasta,CL,-23.65,-70.4,62.6,77,0,3.36,clear sky
52,Arraial Do Cabo,BR,-22.97,-42.03,74.32,94,100,12.06,overcast clouds
53,Nezhinka,RU,51.77,55.37,8.6,78,40,6.71,light snow
54,Nizhniy Baskunchak,RU,48.22,46.83,18.81,93,75,9.91,broken clouds
55,Hobart,AU,-42.88,147.33,60.8,72,75,16.11,broken clouds
56,Ushtobe,KZ,45.25,77.98,15.44,85,0,1.34,clear sky
57,Qitaihe,CN,45.8,130.85,25.32,95,95,7.36,overcast clouds
58,Luderitz,NA,-26.65,15.16,66.79,71,0,13.18,clear sky
59,Dikson,RU,73.51,80.55,-30.23,82,0,11.92,clear sky
60,Penzance,GB,50.12,-5.54,53.6,100,28,18.34,scattered clouds
61,Grindavik,IS,63.84,-22.43,33.8,80,90,3.36,overcast clouds
62,Barrow,US,71.29,-156.79,-7.6,69,40,28.86,light snow
63,Dennery,LC,13.9,-60.89,80.6,78,40,17.22,scattered clouds
64,Clyde,US,41.3,-82.98,33.01,86,50,11.01,scattered clouds
65,Provideniya,RU,64.38,-173.3,23.0,92,90,22.37,heavy snow
66,Bafra,TR,41.57,35.91,42.8,52,75,10.29,broken clouds
67,Bredasdorp,ZA,-34.53,20.04,66.2,82,55,10.29,broken clouds
68,Cherskiy,RU,68.75,161.3,-26.28,86,100,1.83,overcast clouds
69,Geraldton,AU,-28.77,114.6,109.4,8,0,14.99,clear sky
70,Victoria,HK,22.29,114.16,68.0,68,40,4.7,scattered clouds
71,Chuy,UY,-33.7,-53.46,55.96,92,0,3.22,clear sky
72,Avarua,CK,-21.21,-159.78,77.0,73,86,4.7,overcast clouds
73,Kavieng,PG,-2.57,150.8,84.34,70,100,7.36,overcast clouds
74,Hobyo,SO,5.35,48.53,79.81,66,53,21.81,broken clouds
75,Saint-Philippe,RE,-21.36,55.77,84.2,51,0,27.51,clear sky
76,Husavik,IS,66.04,-17.34,15.8,85,20,12.75,few clouds
77,East London,ZA,-33.02,27.91,71.6,88,0,4.7,clear sky
78,Key Largo,US,25.09,-80.45,71.01,63,28,17.38,scattered clouds
79,Cockburn Town,TC,21.46,-71.14,78.53,79,7,16.33,clear sky
80,Mataura,NZ,-46.19,168.86,57.99,91,100,11.01,overcast clouds
81,Tiksi,RU,71.69,128.87,-17.09,89,100,6.11,overcast clouds
82,San Roque,ES,36.21,-5.38,55.4,93,75,2.24,broken clouds
83,Jamestown,US,42.1,-79.24,28.4,92,90,3.36,overcast clouds
84,Jensen Beach,US,27.25,-80.23,60.8,63,1,5.82,clear sky
85,Brae,GB,60.4,-1.35,37.4,71,41,9.17,scattered clouds
86,Cabo San Lucas,MX,22.89,-109.91,63.0,82,40,2.24,scattered clouds
87,Carnarvon,AU,-24.87,113.63,87.8,62,0,17.22,clear sky
88,Olinda,BR,-8.01,-34.86,77.0,69,40,6.93,scattered clouds
89,Naryan-Mar,RU,67.67,53.09,-20.54,84,37,8.63,scattered clouds
90,Honiara,SB,-9.43,159.95,86.0,70,75,11.41,shower rain
91,Udachnyy,RU,66.42,112.4,-43.6,64,0,2.24,clear sky
92,Asau,RO,46.43,26.4,35.01,84,94,5.03,overcast clouds
93,Hilo,US,19.73,-155.09,73.4,83,1,3.36,light rain
94,Bambous Virieux,MU,-20.34,57.76,81.0,74,75,16.11,shower rain
95,Peace River,CA,56.25,-117.29,1.4,84,20,9.17,few clouds
96,Segesd,HU,46.34,17.35,37.0,100,90,2.24,fog
97,Hithadhoo,MV,-0.6,73.08,81.72,77,100,16.64,overcast clouds
98,New Norfolk,AU,-42.78,147.06,60.8,72,75,16.11,broken clouds
99,Kaitangata,NZ,-46.28,169.85,59.0,96,100,5.99,overcast clouds
100,Sitka,US,57.05,-135.33,42.8,60,90,26.4,light snow
101,Shirakawa,JP,37.12,140.24,46.4,60,75,6.93,broken clouds
102,Hualmay,PE,-11.1,-77.61,66.9,85,98,6.35,overcast clouds
103,Kutum,SD,14.2,24.67,63.09,28,0,4.99,clear sky
104,Kiama,AU,-34.68,150.87,77.0,61,9,1.99,clear sky
105,Iquique,CL,-20.22,-70.14,68.0,72,0,9.17,clear sky
106,Ahome,MX,25.92,-109.18,59.92,49,21,2.44,few clouds
107,Hermanus,ZA,-34.42,19.23,66.0,92,77,4.0,broken clouds
108,Vaini,TO,-21.2,-175.2,80.6,88,75,9.17,light rain
109,San Isidro,PE,-12.12,-77.05,68.0,82,75,11.41,broken clouds
110,Goderich,CA,43.75,-81.72,32.0,83,99,4.7,overcast clouds
111,Port Hardy,CA,50.7,-127.42,41.0,93,90,6.93,overcast clouds
112,Longyearbyen,SJ,78.22,15.64,26.6,73,75,43.62,broken clouds
113,Campagna,IT,40.67,15.11,46.0,93,33,1.99,scattered clouds
114,Coihaique,CL,-45.58,-72.07,55.4,54,90,3.36,light rain
115,Laguna,US,38.42,-121.42,48.2,45,1,6.93,clear sky
116,Asfi,MA,32.3,-9.24,61.56,61,0,6.13,clear sky
117,Bethel,US,41.37,-73.41,37.4,51,1,8.05,clear sky
118,Severo-Kurilsk,RU,50.68,156.12,20.41,88,95,25.14,light snow
119,Aljezur,PT,37.32,-8.8,55.99,100,73,1.01,broken clouds
